,,,,,64,168,20,21,22,504,835,786,787,5,271,8,506,509,510,513,581,582,583,369,445,225,163,164,165,
China Development Financial Co,115,TWN,2021,TWD,24468,6170.04,0,0.02,0.01,0.03,0,99.55,0.45,45.7,0.01,213.66,0.03,,,24468,62.43,37.57,,16.8,12.5,,,,,197.9898424
China Everbright Environment Group Limited,27,HKG,2021,HKD,11330,6382.75,13.83,0.47,0.14,14.44,0,36.6,63.4,502885.42,78.79,75307.16,11.8,1586685.96,248.59,11330,24.17,75.83,,20.26,,,,,,816.4975578
China Feihe Ltd,85,CHN,2020,CNY,5433,2600.96,0.04,0.18,,0.22,0,,,51.33,0.02,4042.23,1.55,15.45,0.01,5433,44.86,55.14,,14.83,,,,,,364.081265
China Galaxy Securities Company Limited - H Shares,110,CHN,2021,CNY,12661,5037.02,0,0.02,,0.02,0,,,29.37,0.01,36.25,0.01,,,12661,46.62,53.38,,11.59,,,,,,705.0801775
China Gas Holdings Ltd.,151,HKG,2019,HKD,59462,7616470.8,0.11,0.08,0,0.19,0,99.83,0.17,149.68,0,4770.14,0,69.79,0,59462,35.68,64.32,,9.79,,,,,,974318.7471
China Hongqiao Group Ltd,18,CHN,2021,CNY,42650,16026.4,0,0,,0.01,0,,,196000,12.23,20181,1.26,1766,0.11,42650,15.72,84.28,,10,,,,,,2243.368393
China Life Insurance Co Ltd H Shares,115,CHN,2021,CNY,101459,86553.14,0.05,0.91,,0.96,0,,,2054.71,0.02,27866.42,0.32,,,101459,56.63,43.37,,2.78,,,,,,12115.67065
China Longyuan Power Group Corporation Ltd. - H Shares,150,CHN,,CNY,8053,896.43,,,,,,,,,,,,,,8053,19.57,80.43,,,,,,,,125.4817513
China MeiDong Auto Holdings Ltd,85,CHN,2020,CNY,5153,2828.62,0,0,,0,0,,,9.83,0,207.28,0.07,21.8,0.01,5153,44,56,,,,,,,,395.9493975
China Mengniu Dairy Co. Ltd.,85,CHN,2020,CNY,40626,10638.45,0.14,0.7,,0.84,0,87.22,12.78,2571.33,0.24,82384.7,7.74,242.23,0.02,40626,40,60,,,,,,,,1489.165069
China Merchants Bank Co Ltd H Shares,107,CHN,2021,USD,103669,60433,0.01,0.21,,0.22,0,,,13.33,0,5761.25,0.1,,,103669,55,45,,7.18,,,,,,60433
China Merchants Port Holdings Co Ltd,48,HKG,2021,HKD,8495,1515.88,0.06,0.14,,0.2,0,,,599.64,0.4,2709.04,1.79,2832.16,1.87,8495,14,86,,7.1,,,,,,193.9156704
China Minsheng Banking Corp Ltd H Shares,107,CHN,2021,CNY,57613,23174.18,0.01,0.07,,0.07,0,,,151.03,0.01,2163.36,0.09,365.98,0.02,57613,55.7,44.3,,6.15,,,,,,3243.910971
KBR Inc,30,USA,2021,USD,28000,7300,0.01,0,0.03,0.04,0,17.16,82.84,66.63,0.01,,,,,28000,25.27,74.53,0.2,19,30,,,,,7300
KCC CORP,9,KOR,2022,KRW,3416,4334.76,0.3,0.27,,0.58,0,100,0,2984.47,0.69,1739118,401.2,32,0.01,3416,10.33,89.67,,11.9,0,3730,,222700,,3.198094645
KDDI Corp,140,JPN,2021,JPY,11353,37585.58,0.01,1.04,5.41,6.46,0,89.43,10.57,3201.03,0.09,667,0.02,,,11353,22.96,77.04,,1.16,7.14,,,,,265.917495
KE Holdings Inc. ADR Class A,165,CHN,2021,CNY,110082,11227.03,0,0.03,,0.03,0,,,41.64,0,369284.39,32.89,1.01,0,110082,40.78,59.22,,32.62,12.5,,,388.32,,1571.554556
KEPCO Engineering & Construction Co Inc,30,KOR,2018,KRW,2360,373.36,0,0.01,,0.01,0,,,16.04,0.04,92817,248.6,,,2360,10.76,89.24,,,,,,,,0.2754557559
KEPCO Plant Service & Engineering Co Ltd,30,KOR,2020,KRW,6581,961.56,0,0,,0.01,0,96.38,3.62,6.22,0.01,27567,28.67,,,6581,11.87,88.13,,,20,3000,,,,0.7094184734
KGHM Polska Miedz SA Br,19,POL,2021,PLN,33965,6499.61,2.55,2.64,,5.18,0,,,5318.6,0.82,4548.45,0.7,75743.11,11.65,33965,,,,9.9,22.22,,,,,1417.727021
KION Group AG,36,DEU,2021,EUR,39602,10563.75,0.11,0.09,0.03,0.23,0,80.7,19.3,630.93,0.06,584,0.06,13122,1.24,39602,17.1,82.9,,,31.25,,,,,10841.58001
KIWOOM Securities Co Ltd,110,KOR,2020,KRW,863,714.97,0,0,,0,0,,,10209.72,14.28,19.09,0.03,,,878,48.2,51.8,,13.6,12.5,268.7,,,,0.5274904612
KKR & Co Inc,115,USA,2021,USD,3200,265000,0,0,0,0.01,0,,,,,,,,,3200,44,56,,,19,,,,,265000
KLA Corporation,136,USA,2021,USD,12400,8200,0,0.07,3.85,3.92,0,48,52,197.19,0.02,,,,,12400,19,81,,7,27,,,,,8200
KMW Inc,130,KOR,,KRW,1684,249.69,,,,,,,,,,,,,,1684,,,,,,,,,,0.1842133871
KONICA MINOLTA INC,77,JPN,2021,JPY,40979,6107.67,0.15,0.16,0.82,1.13,0,98.02,1.98,1405.28,0.23,343,0.06,,,40979,30.16,69.22,0.62,2.9,6.4,,,,,43.2117262
China Molybdenum Co. Ltd.,20,CHN,2020,CNY,10956,15815.03,0.48,0.45,,0.93,0,81.7,18.3,3290,0.21,128000,8.09,7000,0.44,21640,13.98,86.02,,24.2,,156.4,,,,2213.781034
China National Building Material Co. Ltd. - H Shares,16,CHN,,CNY,202844,55165.94,,,,,,,,,,,,,,202844,,,,,,,,,,7722.104652
China Pacific Insurance (Group) Co Ltd H Shares,115,CHN,2020,CNY,118119,59096.85,0,0.09,0.01,0.11,0,,,121.85,0,4017.34,0.07,,,118119,53.2,46.8,,10.57,36.36,,,,,8272.351144
China Petrochemical Development Corp,,TWN,2021,TWD,1347,1128.36,1.55,0.19,,1.73,0,99.88,0.12,1857.19,1.65,8.86,0.01,37654,33.37,1352,16.94,83.06,,16.41,12.5,,,,,36.20794925
China Power International Development Ltd.,151,CHN,2021,CNY,10724,4862.09,42.6,,,42.6,0.01,,,12.75,0,290474.21,59.74,0,0,10724,19.31,80.69,,1.93,0,,,,,680.5933072
China Resources Beer (Holdings) Co Ltd,88,HKG,2021,CNY,26900,4673.5,0.1,0.74,,0.84,0,,,1863.41,0.4,30837,6.6,280.4,0.06,26900,26.02,73.98,,8.4,,,,,,654.1941335
China Resources Gas Group Ltd.,152,HKG,2021,HKD,52354,10000.37,0.03,0.1,,0.13,0,,,351.26,0.04,4201.37,0.42,,,52354,35,65,,3,,,,,,1279.272969
KT&G Corp.,92,KOR,2021,KRW,4311,3857.71,0.04,0.08,0.2,0.33,0,99.87,0.13,666.39,0.17,564194,146.25,,,4311,13.2,86.8,,34.77,12.5,12770,,,245963,2.846136025
KUEHNE & NAGEL INTL AG-REG,45,CHE,2021,CHF,78087,38523.86,0.11,0.12,16.48,16.71,0,22,78,592,0.02,965.88,0.03,22000,0.57,78087,38.9,61.1,,,12.5,,,,,40478.98935
