"id","note","only","except","question_id","question_option_type","question_option_id","initiative_id","sdg_id","order","indicator_id","weight","children_action","comment_required","attachment_required","allow_submit","created_at","updated_at","deleted_at"
49,,,,17,"App\Models\Tenant\QuestionOptions\Simple",23,,,3,,"0.00",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
50,,,,17,"App\Models\Tenant\QuestionOptions\Simple",24,,,4,,"0.00",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
51,,,,17,"App\Models\Tenant\QuestionOptions\Simple",25,,,5,,"0.00",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
52,,,,17,"App\Models\Tenant\QuestionOptions\Simple",26,,,6,,"0.00",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
53,,,,17,"App\Models\Tenant\QuestionOptions\Simple",8,,,7,,"0.00",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
54,,,,18,"App\Models\Tenant\QuestionOptions\Simple",28,,,1,,"0.00","enable",0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
55,,,,18,"App\Models\Tenant\QuestionOptions\Simple",29,,,2,,"0.00","enable",0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
56,,,,18,"App\Models\Tenant\QuestionOptions\Simple",30,,,3,,"0.00","enable",0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
57,,,,19,"App\Models\Tenant\QuestionOptions\Simple",2,,,1,,"10.00",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
58,,,,19,"App\Models\Tenant\QuestionOptions\Simple",3,17,,2,,"0.00",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
59,,,,20,"App\Models\Tenant\QuestionOptions\Simple",31,,,1,,"0.00",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
60,,,,20,"App\Models\Tenant\QuestionOptions\Simple",32,,,2,,"0.00",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
61,,,,20,"App\Models\Tenant\QuestionOptions\Simple",33,,,3,,"0.00",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
62,,,,21,"App\Models\Tenant\QuestionOptions\Simple",34,,,1,,"0.00",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
63,,,,21,"App\Models\Tenant\QuestionOptions\Simple",35,,,2,,"0.00",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
64,,,,21,"App\Models\Tenant\QuestionOptions\Simple",36,,,3,,"0.00",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
65,,,,21,"App\Models\Tenant\QuestionOptions\Simple",37,,,4,,"0.00",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
66,,,,21,"App\Models\Tenant\QuestionOptions\Simple",38,,,5,,"0.00",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
67,,,,22,"App\Models\Tenant\QuestionOptions\Simple",2,,16,1,,"5.00","enable",0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
68,,,,22,"App\Models\Tenant\QuestionOptions\Simple",3,32,,2,,"0.00","disable",0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
69,,,,23,"App\Models\Tenant\QuestionOptions\Simple",2,,16,1,,"5.00",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
70,,,,23,"App\Models\Tenant\QuestionOptions\Simple",3,32,,2,,"0.00",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
71,,,,24,"App\Models\Tenant\QuestionOptions\Simple",39,4,,1,,"0.00",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
