"id","questionnaire_type_id","category_id","deleted_at","created_at","updated_at"
89,5,86,,"2023-04-18T22:28:11.000Z","2023-04-18T22:28:11.000Z"
90,5,87,,"2023-04-18T22:28:11.000Z","2023-04-18T22:28:11.000Z"
91,5,88,,"2023-04-18T22:28:11.000Z","2023-04-18T22:28:11.000Z"
92,5,89,,"2023-04-18T22:28:11.000Z","2023-04-18T22:28:11.000Z"
93,5,90,,"2023-04-18T22:28:11.000Z","2023-04-18T22:28:11.000Z"
94,5,91,,"2023-04-18T22:28:11.000Z","2023-04-18T22:28:11.000Z"
95,3,92,,"2023-04-18T22:28:11.000Z","2023-04-18T22:28:11.000Z"
96,6,93,,"2023-04-18T22:28:11.000Z","2023-04-18T22:28:11.000Z"
97,6,94,,"2023-04-18T22:28:11.000Z","2023-04-18T22:28:11.000Z"
98,6,95,,"2023-04-18T22:28:11.000Z","2023-04-18T22:28:11.000Z"
99,7,96,,"2023-04-18T22:28:11.000Z","2023-04-18T22:28:11.000Z"
100,7,97,,"2023-04-18T22:28:11.000Z","2023-04-18T22:28:11.000Z"
101,7,98,,"2023-04-18T22:28:11.000Z","2023-04-18T22:28:11.000Z"
105,8,102,,"2023-04-18T22:28:11.000Z","2023-04-18T22:28:11.000Z"
106,8,103,,"2023-04-18T22:28:11.000Z","2023-04-18T22:28:11.000Z"
107,8,104,,"2023-04-18T22:28:11.000Z","2023-04-18T22:28:11.000Z"
108,8,105,,"2023-04-18T22:28:11.000Z","2023-04-18T22:28:11.000Z"
109,8,106,,"2023-04-18T22:28:11.000Z","2023-04-18T22:28:11.000Z"
110,8,107,,"2023-04-18T22:28:11.000Z","2023-04-18T22:28:11.000Z"
111,8,108,,"2023-04-18T22:28:11.000Z","2023-04-18T22:28:11.000Z"
112,8,109,,"2023-04-18T22:28:11.000Z","2023-04-18T22:28:11.000Z"
113,8,110,,"2023-04-18T22:28:11.000Z","2023-04-18T22:28:11.000Z"
114,8,111,,"2023-04-18T22:28:11.000Z","2023-04-18T22:28:11.000Z"
115,8,112,,"2023-04-18T22:28:11.000Z","2023-04-18T22:28:11.000Z"
116,8,113,,"2023-04-18T22:28:11.000Z","2023-04-18T22:28:11.000Z"
117,8,114,,"2023-04-18T22:28:11.000Z","2023-04-18T22:28:11.000Z"
118,8,115,,"2023-04-18T22:28:11.000Z","2023-04-18T22:28:11.000Z"
119,8,116,,"2023-04-18T22:28:11.000Z","2023-04-18T22:28:11.000Z"
120,8,117,,"2023-04-18T22:28:11.000Z","2023-04-18T22:28:11.000Z"
121,9,118,,"2023-04-18T22:28:11.000Z","2023-04-18T22:28:11.000Z"
122,9,119,,"2023-04-18T22:28:11.000Z","2023-04-18T22:28:11.000Z"
123,9,120,,"2023-04-18T22:28:11.000Z","2023-04-18T22:28:11.000Z"
